SN,SubstanceCategory,Substance,NewSubstanceUsed,N,New Category,Subcategory,Active substance,Active substance category,Chemical/formulation,Commercial Product
59,Probiotic,Bio-fav Aqua,Bio-fav Aqua,1,Probiotic,,Bacillus polymyxa,Probiotic - bacteria,Formulation,Yes
141,Probiotic,Pond Care,Pond Care,6,Probiotic,,Bacillus polymyxa,Probiotic - bacteria,Formulation,Yes
141,Probiotic,Pond Care,Pond Care,6,Probiotic,,Bacillus pumilus,Probiotic - bacteria,Formulation,Yes
144,Probiotic,Pro-2,Pro-2,4,Probiotic,,Bacillus pumilus,Probiotic - bacteria,Formulation,Yes
60,Probiotic,Bio-trim,Bio-trim,44,Probiotic,,Bacillus spp.,Probiotic - bacteria,Formulation,Yes
155,Probiotic,Super Biotic,Super Biotic,111,Probiotic,,Bacillus spp.,Probiotic - bacteria,Formulation,Yes
164,Probiotic,pH Fixer,pH Fixer,123,Probiotic,,Bacillus spp.,Probiotic - bacteria,Formulation,Yes
57,Probiotic,Bacten,Bacten,2,Probiotic,,Bacillus subtilis,Probiotic - bacteria,Formulation,Yes
59,Probiotic,Bio-fav Aqua,Bio-fav Aqua,1,Probiotic,,Bacillus subtilis,Probiotic - bacteria,Formulation,Yes
62,Probiotic,Biomar,Biomax,2,Probiotic,,Bacillus subtilis,Probiotic - bacteria,Formulation,Yes
63,Immunostimulant,Biozyme,Biozyme,4,Immunostimulant,,Bacillus subtilis,Probiotic - bacteria,Formulation,Yes
132,Probiotic,Navio Plus,Navio Plus,1,Probiotic,,Bacillus subtilis,Probiotic - bacteria,Formulation,Yes
141,Probiotic,Pond Care,Pond Care,6,Probiotic,,Bacillus subtilis,Probiotic - bacteria,Formulation,Yes
143,Organic matter decompose,Pro 400X,Pro 400X,2,Probiotic,,Bacillus subtilis,Probiotic - bacteria,Formulation,Yes
144,Probiotic,Pro-2,Pro-2,4,Probiotic,,Bacillus subtilis,Probiotic - bacteria,Formulation,Yes
145,Probiotic,Pro-W,Pro-W,25,Probiotic,,Bacillus subtilis,Probiotic - bacteria,Formulation,Yes
158,Unknown,Viva Pond,Viva Pond,3,Probiotic,,Bacillus subtilis,Probiotic - bacteria,Formulation,Yes
159,Unknown,Viva Soil,Viva Soil,7,Probiotic,,Bacillus subtilis,Probiotic - bacteria,Formulation,Yes
163,Probiotic,Zymetin,Zymetin,113,Probiotic,,Bacillus subtilis,Probiotic - bacteria,Formulation,Yes
125,"Probiotic, Immunostimulant",Gut Plus,Gut Plus,6,Probiotic,,Beneficial bacteria,Probiotic - bacteria,Formulation,Yes
8,Disinfectants,Benzalkonium chloride (BKC),Zephiran,48,Disinfectant,,Benzalkonium chloride,Disinfectants - Cl based,Formulation,Yes
36,Disinfectants,Other disinfectants,Timsen,1,Disinfectant,,Benzalkonium chloride,Disinfectants - Cl based,Formulation,Yes
136,"Immunostimulant, Antibiotic",Ossi C,Ossi C,2,Immunostimulant,,Beta Glucan,Feed Supplement,Formulation,Yes
134,"Immunostimulant, Antibiotic",Nutrigel,Nutrigel,1,Nutritional Supplement,,Betane hydrochloride,Feed Supplement,Formulation,Yes
57,Probiotic,Bacten,Bacten,2,Probiotic,,Bifidobacterium longum,Probiotic - bacteria,Formulation,Yes
57,Probiotic,Bacten,Bacten,2,Probiotic,,Bifidobacterum thermophillum,Probiotic - bacteria,Formulation,Yes
56,Mineral elements,A. Soil,A. Soil,72,Sediment treatment,,Boron,Mineral elements,Formulation,Yes
154,Mineral elements,Soil Gold,Soil Gold,1,Sediment treatment,,Boron,Mineral elements,Formulation,Yes
63,Immunostimulant,Biozyme,Biozyme,4,Immunostimulant,,Calcium,Mineral elements,Formulation,Yes
109,Immunostimulant,Calmag,Calmag,144,Nutritional Supplement,,Calcium,Mineral elements,Formulation,Yes
110,Mineral elements,Calsimag,Calsimag,1,Nutritional Supplement,,Calcium,Mineral elements,Formulation,Yes
112,Immunostimulant,Chelamin,Chelamin,1,Nutritional Supplement,,Calcium,Mineral elements,Formulation,Yes
122,Immunostimulant,Exorich,Exorich,15,Nutritional Supplement,,Calcium,Mineral elements,Formulation,Yes
123,Immunostimulant,Gelatin,Gelatin,23,Nutritional Supplement,,Calcium,Mineral elements,Formulation,Yes
153,Immunostimulant,Soda mix,Soda mix,148,Nutritional Supplement,,Calcium,Mineral elements,Formulation,Yes
9,Water and sediment,Calcium carbonate,Agricultural lime,970,Sediment treatment,,Calcium carbonate,Inorganic compound,Chemical,No
9,Water and sediment,Calcium carbonate,Agricultural lime,970,Water quality treatment,,Calcium carbonate,Inorganic compound,Chemical,No
150,Mineral elements,Shell min,Shell min,2,Nutritional Supplement,,Calcium carbonate,Inorganic compound,Formulation,Yes
151,Minerals and liming compounds,Soda Fix,Soda Fix,1,Water quality treatment,,Calcium carbonate,Inorganic compound,Formulation,Yes
150,Mineral elements,Shell min,Shell min,2,Nutritional Supplement,,Calcium chloride,Inorganic compound,Formulation,Yes
11,Water and sediment,Calcium hydroxide,Hydrated lime,1,Sediment treatment,,Calcium hydroxide,Inorganic compound,Chemical,No
11,Water and sediment,Calcium hydroxide,Hydrated lime,1,Water quality treatment,,Calcium hydroxide,Inorganic compound,Chemical,No
13,Disinfectants,Calcium hypochlorite,Bleaching powder,22,Disinfectant,,Calcium hypochlorite,Disinfectants - Cl based,Chemical,No
26,Water and sediment,Dolomite,Dolomite,5,Sediment treatment,,Calcium magnesium carbonate,Inorganic compound,Chemical,No
26,Water and sediment,Dolomite,Dolomite,5,Water quality treatment,,Calcium magnesium carbonate,Inorganic compound,Chemical,No
119,Mineral buffer,Dolomite,Dolomite,2,Water quality treatment,,Calcium magnesium carbonate,Inorganic compound,Chemical,No
14,Water and sediment,Calcium oxide,Quicklime,17,Sediment treatment,,Calcium oxide,Oxygen precursors,Chemical,No
14,Water and sediment,Calcium oxide,Quicklime,17,Water quality treatment,,Calcium oxide,Oxygen precursors,Chemical,No
62,Probiotic,Biomar,Biomax,2,Probiotic,,Calcium oxide,Oxygen precursors,Formulation,Yes
120,Immunostimulant,Eon Fish Grower,Eon Fish Grower,3,Nutritional Supplement,,Calcium pantothenate,Vitamins,Formulation,Yes
158,Unknown,Viva Pond,Viva Pond,3,Probiotic,,Candida utilis,Probiotic - other,Formulation,Yes
16,Pesticides,Carbofuran,Furadan,26,Pesticide,Insecticide - piscicide,Carbafuran,Pesticide,Formulation,Yes
16,Pesticides,Carbafuran,Furadan,26,Pesticide,Insecticide - piscicide,Carbafuran,Pesticide,Formulation,Yes
17,Pesticides,Carbafuran,Carbamol (Trade name),1,Pesticide,Insecticide - piscicide,Carbafuran,Pesticide,Formulation,Yes
17,Pesticides,Carbamol (Trade name),Carbamol (Trade name),1,Pesticide,Insecticide - piscicide,Carbafuran,Pesticide,Formulation,Yes
56,Mineral elements,A. Soil,A. Soil,72,Sediment treatment,,Carbon,Mineral elements,Formulation,Yes
